DATA,spei_1,spei_3,spei_6,spei_9,spei_12,spei_24,spi_1,spi_3,spi_6,spi_9,spi_12,spi_24,duration_spei_1,duration_spei_3,duration_spei_6,duration_spei_9,duration_spei_12,duration_spei_24,intensity_spei_1,intensity_spei_3,intensity_spei_6,intensity_spei_9,intensity_spei_12,intensity_spei_24,duration_spi_1,duration_spi_3,duration_spi_6,duration_spi_9,duration_spi_12,duration_spi_24,intensity_spi_1,intensity_spi_3,intensity_spi_6,intensity_spi_9,intensity_spi_12,intensity_spi_24
1961-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-23,-0.52,,,,,,-0.4,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-01,-0.72,,,,,,-0.58,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-09,-0.73,,,,,,-0.65,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-16,-1.41,,,,,,-1.61,,,,,,1,,,,,,1.41,,,,,,1,,,,,,1.61,,,,,
1961-02-23,-1.41,,,,,,-1.53,,,,,,2,,,,,,2.82,,,,,,2,,,,,,3.14,,,,,
1961-03-01,-1.16,,,,,,-1.16,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-03-09,-1.01,,,,,,-0.94,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-03-16,-0.18,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-03-23,-0.18,-1.2,,,,,-0.07,-1.16,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-04-01,0.25,-0.98,,,,,0.46,-0.91,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-04-09,0.11,-0.95,,,,,0.48,-0.8,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-04-16,-0.23,-1.02,,,,,0.14,-0.87,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-04-23,-0.38,-1.05,,,,,0.06,-0.85,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-05-01,-0.98,-1.01,,,,,-0.52,-0.74,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-05-09,-1.17,-1.13,,,,,-0.67,-0.73,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-05-16,-1.6,-1.25,,,,,-1.31,-0.74,,,,,1,0,,,,,1.6,0,,,,,1,0,,,,,1.31,0,,,,
1961-05-23,-0.04,-0.37,,,,,0.63,0.11,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-01,0.36,-0.21,,,,,0.65,0.18,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-09,0.56,-0.33,,,,,0.7,0.18,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
